,제목,제공기관,설명,파일형태,수정일,제공형태
1927,인천광역시 군구별 고위험음주인원 정보,자치행정기관,고위험음주인원에 관한 통계정보를 군구별로 나타낸 공간정보 입니다.,JSON,2020-09-21,API
1928,인천광역시 군구별 비만율 정보,자치행정기관,비만율에 관한 통계정보를 군구별로 나타낸 공간정보 입니다.,JSON,2020-09-21,API
1929,인천광역시 군구별 인구천명당 의사수 정보,자치행정기관,"인구 1,000명당 의사 수에 관한 통계정보를 군구별로 나타낸 공간정보 입니다.",JSON,2020-09-21,API
1930,인천광역시 국토계획/보건위생시설,자치행정기관,"국토의계획및이용에관한법률,(연속주제)국토계획/보건위생시설(국토계획)",JSON,2020-09-21,API
1931,인천광역시 군구별 흡연율 정보,자치행정기관,흡연율에 관한 통계정보를 군구별로 나타낸 공간정보 입니다.,JSON,2020-09-21,API
1932,인천광역시 의료시설 정보,자치행정기관,"인천 관내 약국, 의원 현황에 관한 공간정보 입니다.",JSON,2020-09-21,API
1933,제주특별자치도 서귀포시 서귀포시 금연구역,자치행정기관,"서귀포시 금연구역의 금연구역명, 금연구역 범위상세, 금연구역면적, 주소 등 정보서비스",XML,2020-09-18,API
1934,제주특별자치도 서귀포시 서귀포시 보건소현황,자치행정기관,"서귀포시 서귀포보건소, 동부보건소, 서부보건소에서 알려드리는 보건소현황 정보서비스",XML,2020-09-18,API
1935,제주특별자치도 제주시 한방진료실운영현황,자치행정기관,"제주시 관내 보건소 및 보건지소에서 운영하는 한방진료실의 운영요일, 운영시간 등 정보 제공",XML,2020-09-08,API
1936,건강보험심사평가원 의약품성분약효정보조회서비스,공공기관,건강보험심사평가원에서 관리하는 의약품 성분의 약효정보입니다.,XML,2020-09-02,API
1937,서울특별시 동작구 동물약국 인허가 정보,자치행정기관,동작구의 동물용 의약품을 취급하는 업소정보,XML,2020-08-13,API
1938,울산광역시 동물병원 현황,자치행정기관,"울산광역시 동물병원(허가일자,연락처,소재지) 현황 제공",XML,2020-08-13,API
1939,서울특별시 동작구 의원 인허가 정보,자치행정기관,"동작구의 의원, 보건소, 한의원 등 진료시설을 갖추고 환자를 대상으로 의사가 의료행위를 하는 의료기관 정보",XML,2020-08-11,API
1940,서울특별시 동작구 동물병원 인허가 정보,자치행정기관,동작구의 동물을 진료하거나 동물의 질병을 예방하는 기관정보,XML,2020-08-11,API
1941,서울특별시 동작구 병원 인허가 정보,자치행정기관,"동작구의 병원, 종합병원, 치과병원 등 의사가 환자를 진찰 및 진료하는데 필요한 설비가 갖춰있으며, 30명 이상의 환자를 수용할 수 있는 시설을 갖춘 의료기관 정보",XML,2020-08-11,API
1942,서울특별시 동작구 약국 인허가 정보,자치행정기관,동작구의 약사가 의약품을 조제 또는 판매를 주목적으로 하는 업소정보,XML,2020-08-11,API
1943,경상남도 보건소,자치행정기관,"경상남도 보건소의 명칭, 내용, 소재지 등을 조회하는 경상남도 보건소 정보 조회 서비스",JSON+XML,2020-08-03,API
1944,경상남도 건강가정지원센터,자치행정기관,"경상남도 건강가정지원센터의 명칭, 위치, 대표연락처 등을 조회하는 경상남도 건강가정지원센터 현황 조회 서비스",JSON+XML,2020-07-31,API
1945,울산광역시 보건소 현황,자치행정기관,"울산광역시 보건소 현황(소재지, 연락처, 홈페이지 등) 제공",XML,2020-07-27,API
1946,간암 병기 조사 정보제공 서비스,공공기관,"국립암센터에서 중앙암등록본부에서 제공하는 간암병기조사 및 협력병기조사(대상 암종: 위암, 결장암, 직장암, 유방암)의 결과 데이터입니다.",JSON+XML,2020-06-16,API
1947,부산광역시 외국인환자 유치기관,자치행정기관,부산시 외국인환자 유치 등록 의료기관 및 유치업자 현황,JSON+XML,2020-06-12,API
1948,건강보험심사평가원 약가기준정보조회서비스,공공기관,건강보험 의약품 마스터 정보,XML,2020-06-09,API
1949,건강보험심사평가원 수가기준정보조회서비스,공공기관,"수가코드, 분류번호, 수가한글명 등 진료수가의 적용일자, 급여비급여 여부 등에 대한 기준정보",XML,2020-06-09,API
1950,건강보험심사평가원 병원코드정보서비스,공공기관,건강보험심사평가원에서 사용하는 각종 코드정보를 조회하는 서비스입니다.,JSON+XML,2020-06-09,API
1951,건강보험심사평가원 특수진료병원정보서비스,공공기관,(특수진료병원정보) 건강보험심사평가원에서 관리하는 특수진료병원 정보를 조회하는 서비스입니다.,XML,2020-06-09,API
1952,건강보험심사평가원 의약품사용정보조회서비스,공공기관,건강보험심사평가원으로 청구되는 급여의약품 사용 정보,XML,2020-06-09,API
1953,건강보험심사평가원 진료행위정보서비스,공공기관,건강보험심사평가원에서 관리하는 진료행위 정보를 조회하는 서비스입니다.,JSON+XML,2020-06-09,API
1954,건강보험심사평가원 질병정보서비스,공공기관,건강보험심사평가원에서 관리하는 질병 정보를 조회하는 서비스입니다.,JSON+XML,2020-06-09,API
1955,건강보험심사평가원 병원평가결과정보조회서비스,공공기관,"수술, 질병, 약제사용 등 병원의 의료서비스를 의·약학적 측면과 비용효과적 측면에서 평가한 결과 정보",XML,2020-06-09,API
1956,건강보험심사평가원 병원정보서비스,공공기관,건강보험심사평가원에서 관리하는 병원 정보를 조회하는 서비스입니다.,JSON+XML,2020-06-09,API
1957,건강보험심사평가원 약국정보서비스,공공기관,건강보험심사평가원에서 관리하는 약국 정보를 조회할 수 있는 서비스,XML,2020-06-09,API
1958,건강보험심사평가원 의료기관별상세정보서비스,공공기관,건강보험심사평가원에서 관리하는 의료기관별 상세정보를 조회하는 서비스,XML,2020-06-09,API
1959,건강보험심사평가원 코로나19병원정보(국민안심병원 외)서비스,공공기관,"코로나바이러스감염증-19(COVID-19) 관련 병원 운영 현황 정보 등 제공 - 국민안심병원, - 코로나-19 검사 실시기관 - 코로나-19 선별진료소",XML,2020-06-09,API
1960,충청남도 보령시 약국조회서비스,자치행정기관,"약국명을 통해 전화번호, 주소 등의 약국정보를 조회하는 보령시약국조회서비스",JSON+XML,2020-06-01,API
1961,충청남도 보령시 의료기관조회서비스,자치행정기관,"의료기관명을 통해 전화번호, 주소 등의 의료기관정보를 조회하는 보령시의료기관조회서비스",JSON+XML,2020-05-27,API
1962,충청남도 보령시 당직의료기관조회서비스,자치행정기관,"의료기관명을 통해 진료시간, 주소 등의 당직의료기관정보를 조회하는 보령시당직의료기관조회서비스",JSON+XML,2020-05-22,API
1963,건강보험심사평가원 의료영상진료정보조회서비스,공공기관,진료분야 기준으로 의료영상데이터의 진료 및 의료기기 촬영정보 통계현황을 조회하는 의료영상진료정보 조회서비스,XML,2020-04-28,API
1964,부산광역시 비브리오균 조사 정보,자치행정기관,6개지점 연안해수등을 검사한 비브리오균(3종) 정보(보건환경연구원 분석) * 비브리오균 : 하절기 세균성 감염질환 원인,JSON+XML,2020-04-17,API
1965,충청북도 응급의료기관,자치행정기관,"충청북도에 소재한 병의원, 보건소, 보건지소, 보건진료소의 전화, 팩스, 주소, 우편번호 정보",JSON,2020-04-08,API
1966,충청북도 응급의료기관,자치행정기관,"충청북도에 소재한 병의원, 보건소, 보건지소, 보건진료소의 전화, 팩스, 주소, 우편번호 정보",JSON,2020-04-07,API
1967,전국 응급의료기관 조회 서비스,공공기관,"전국 응급의료기관 정보를 조회하기 위한 서비스로서 실시간 응급실 가용병상정보 및 중증질환 수용가능정보, 위치정보등을 조회할 수 있다.",XML,2020-03-06,API
1968,전국 병‧의원 찾기 서비스,공공기관,"전국 병‧의원 정보를 조회하기 위한 서비스로서 주소별, 기관별로 조회할 수 있다",XML,2020-03-03,API
1969,폐암 병기 조사 정보제공 서비스,공공기관,"국립암센터에서 중앙암등록본부에서 제공하는 간암병기조사 및 협력병기조사(대상 암종: 위암, 결장암, 직장암, 유방암)의 결과 데이터입니다.",JSON+XML,2020-02-12,API
1970,국립암센터 갑상선암 라이브러리 집계정보,공공기관,"센터명, 연도를 기준으로 갑상선암 환자의 나이, 성별등을 조회하는 국립암센터 갑상선암 집계 정보 서비스",JSON+XML,2020-02-12,API
1971,국립암센터 유방암 라이브러리 집계정보,공공기관,"센터명, 연도를 기준으로 유방암 환자의 나이, 성별등을 조회하는 국립암센터 유방암 집계 정보 서비스",JSON+XML,2020-02-09,API
1972,국립암센터 난소암 라이브러리 집계정보,공공기관,"센터명, 연도를 기준으로 난소암 환자의 나이, 성별등을 조회하는 국립암센터 난소암 집계 정보 서비스",JSON+XML,2020-02-09,API
1973,직장암 협력병기 조사 정보제공 서비스,공공기관,"국립암센터에서 중앙암등록본부에서 제공하는 간암병기조사 및 협력병기조사(대상 암종: 위암, 결장암, 직장암, 유방암)의 결과 데이터입니다.",JSON+XML,2020-01-09,API
1974,결장암 협력병기 조사 정보제공 서비스,공공기관,"국립암센터에서 중앙암등록본부에서 제공하는 간암병기조사 및 협력병기조사(대상 암종: 위암, 결장암, 직장암, 유방암)의 결과 데이터입니다.",JSON+XML,2020-01-09,API
1975,유방암 협력병기 조사 정보제공 서비스,공공기관,"국립암센터에서 중앙암등록본부에서 제공하는 간암병기조사 및 협력병기조사(대상 암종: 위암, 결장암, 직장암, 유방암)의 결과 데이터입니다.",JSON+XML,2020-01-09,API
1976,위암 협력병기 조사 정보제공 서비스,공공기관,"국립암센터에서 중앙암등록본부에서 제공하는 간암병기조사 및 협력병기조사(대상 암종: 위암, 결장암, 직장암, 유방암)의 결과 데이터입니다.",JSON+XML,2020-01-09,API
1977,국립암센터 암종별 레지스트리 메타 정보,공공기관,"대장암, 간암, 유방암, 위암, 갑상선암 레지스트리별 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON+XML,2020-01-08,API
1978,방광암 레지스트리 메타 정보 제공 서비스,공공기관,"대장암, 간암, 유방암, 위암, 갑상선암 레지스트리별 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON,2020-01-08,API
1979,폐암 레지스트리 메타 정보제공 서비스,공공기관,"대장암, 간암, 유방암, 위암, 갑상선암 레지스트리별 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON,2020-01-08,API
1980,육종암 레지스트리 메타 정보 제공 서비스,공공기관,"대장암, 간암, 유방암, 위암, 갑상선암 레지스트리별 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON+XML,2020-01-08,API
1981,소아청소년암 레지스트리 메타정보 제공 서비스,공공기관,"대장암, 간암, 유방암, 위암, 갑상선암 레지스트리별 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON+XML,2020-01-08,API
1982,구강암 레지스트리 메타 정보 제공 서비스,공공기관,"대장암, 간암, 유방암, 위암, 갑상선암 레지스트리별 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON,2020-01-08,API
1983,자궁암 레지스트리 메타 정보제공 서비스,공공기관,"대장암, 간암, 유방암, 위암, 갑상선암 레지스트리별 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON,2020-01-08,API
1984,산재병원 의료 현황정보,공공기관,근로복지공단 소속병원과 협력관계 전국 병원정보,XML,2019-09-17,API
1985,근로복지지원현황,공공기관,(고용산재보험정보) 근로복지지원현황 정보를 제공한다.,XML,2019-09-17,API
1986,임상연구 DB,국가행정기관,국내에서 진행되는 임상시험 및 임상연구에 대한 임상연구정보 제공,JSON+XML,2019-09-16,API
1987,서울특별시 동작구 보건소 새소식 정보,자치행정기관,"서울특별시 동작구 보건소에서 제공하는 건강정보로 제목, 담당부서, 전화번호, 등록일, 내용 정보를 제공합니다.",XML,2019-09-10,API
1988,경상북도 공중화장실 정보조회,자치행정기관,"경상북도 숙박, 목욕 이용, 세탁, 위생처리등의 공중위생업소, 음식점, 주점 , 제과, 위탁급식 등의 식품위생업체의 현황 정보입니다",XML,2019-06-25,API
1989,부산광역시 인플루엔자호흡기바이러스 조사 정보,자치행정기관,협력병원 급성호흡기감염증 환자의 인후도찰물을 분석한 바이러스(9종) 정보 (보건환경연구원 분석),JSON+XML,2019-06-17,API
1990,부산광역시 일본뇌염모기밀도 조사결과 정보,자치행정기관,일본뇌염 매개모기(10종)의 출현 시기 및 밀도 조사 정보(보건환경연구원 분석),JSON+XML,2019-06-17,API
1991,포항시 한의원현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1992,포항시 치과의원현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1993,포항시 치과기공소현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1994,포항시 종합병원현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1995,포항시 의원현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1996,포항시 의료기판매업소현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1997,포항시 요양병원현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1998,포항시 약국현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
1999,포항시 안경판매업소현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
2000,포항시 보건소현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
2001,포항시 병원현황,자치행정기관,보건의료기관조회서비스,XML,2019-05-01,API
2002,국내 의과학 학술논문 국가서지,국가행정기관,국내 발행 보건의생명과학 학술논문 서지 및 초록 정보를 텍스트 형식으로 제공,JSON,2019-04-15,API
2003,대전광역시 당직의료기관,자치행정기관,대전광역시 당직의료기관입니다.,JSON+XML,2019-04-10,API
2004,친절음식점 정보,자치행정기관,"대구의 숨겨진 맛집, 식품제조업 관련 DB",JSON+XML,2019-02-28,API
2005,대구 맛집,자치행정기관,"대구의 숨겨진 맛집, 식품제조업 관련 DB",JSON+XML,2019-02-28,API
2006,대구 사찰음식점,자치행정기관,"대구의 숨겨진 맛집, 식품제조업 관련 DB",JSON+XML,2019-02-28,API
2007,대구음식골목,자치행정기관,"대구의 숨겨진 맛집, 식품제조업 관련 DB",JSON+XML,2019-02-28,API
2008,경기도 보건 의료기관별 공중보건의 배치 현황,자치행정기관,정신보건시설 현황 입니다.,XML,2019-02-11,API
2009,국립암센터 암검진자 코호트 집계 정보,공공기관,"암검진자 코호트 대상자 연령 및 성별 정보, 연령 및 성별별 암발생 건수, 사망자 수, 신체계측 평균 정보, 일반화학 평균 정보,일반 혈액검사 평균 정보, 종양표지자 평균 정보를 제공한다.",JSON+XML,2019-01-23,API
2010,국립암센터 암검진자 코호트 메타 정보,공공기관,"암검진자 코호트 검사, 암과거력, 질병력, 수술력, 약물복용력, 가족력, 음주, 흡연, 암등록 및 사망, 운동, 감염, 일반사항, 검진일반, 검진특화, 검진, 문진, 남성문항, 여성문항 총 19개 정보에 대한 메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수, 샘플데이터 등)를 제공한다.",JSON+XML,2019-01-21,API
2011,경상남도 의령군 무더위쉼터 API,자치행정기관,"전국 무더위쉼터 정보(쉼터위치, 냉방시설 개수 등)를 제공합니다. 공공데이터 개방 표준데이터 속성정보(표현형식/단위 등)는 [공공데이터 개방 표준]고시를 참고하시기 바랍니다.(게시판>자료실>법령&지침) 전국표준데이터는 각 기관에서 등록한 표준데이터를 취합하여 제공합니다. 표준데이터의 갱신주기는 개별 파일마다 다릅니다.(기관에서 등록한 데이터를 취합한 것으로 개별 파일별 갱신시점이 다름) 전국표준데이터의 취합시점은 월말 일괄 취합됩니다.",XML,2019-01-15,API
2012,경상남도 의령군 금연구역 API,자치행정기관,"전국 금연구역 정보(금연구역 지역, 면적, 위반과태료 등)를 제공합니다. 공공데이터 개방 표준데이터 속성정보(표현형식/단위 등)는 [공공데이터 개방 표준]고시를 참고하시기 바랍니다.(게시판>자료실>법령&지침) 전국표준데이터는 각 기관에서 등록한 표준데이터를 취합하여 제공합니다. 표준데이터의 갱신주기는 개별 파일마다 다릅니다.(기관에서 등록한 데이터를 취합한 것으로 개별 파일별 갱신시점이 다름) 전국표준데이터의 취합시점은 월말 일괄 취합됩니다.",XML,2019-01-15,API
2013,임상연구 등록통계,국가행정기관,임상연구정보서비스에 등록된 임상연구정보의 등록 통계,JSON+XML,2019-01-14,API
2014,경기도 공공의료사업(중증장애인치과운영)실적 현황,자치행정기관,"경기도 출자·출연기관인 경기도의료원의 취약계층 진료비 지원 사업, 가정간호 사업, 중증장애인 치과 운영 사업 등의 지원 규모(지원인원, 지원건수, 지원금액 등) 정보를 제공합니다.",XML,2019-01-02,API
2015,경기도 공공의료사업(무료이동진료사업(외국인근로자))실적 현황,자치행정기관,"경기도 출자·출연기관인 경기도의료원의 취약계층 진료비 지원 사업, 가정간호 사업, 중증장애인 치과 운영 사업 등의 지원 규모(지원인원, 지원건수, 지원금액 등) 정보를 제공합니다.",XML,2019-01-02,API
2016,경기도 공공의료사업(행복치아만들기사업)실적 현황,자치행정기관,"경기도 출자·출연기관인 경기도의료원의 취약계층 진료비 지원 사업, 가정간호 사업, 중증장애인 치과 운영 사업 등의 지원 규모(지원인원, 지원건수, 지원금액 등) 정보를 제공합니다.",XML,2019-01-02,API
2017,경기도 공공의료사업(가정간호사업)실적 현황,자치행정기관,"경기도 출자·출연기관인 경기도의료원의 취약계층 진료비 지원 사업, 가정간호 사업, 중증장애인 치과 운영 사업 등의 지원 규모(지원인원, 지원건수, 지원금액 등) 정보를 제공합니다.",XML,2019-01-02,API
2018,경기도 공공의료사업(취약계층진료비지원사업)실적 현황,자치행정기관,"경기도 출자·출연기관인 경기도의료원의 취약계층 진료비 지원 사업, 가정간호 사업, 중증장애인 치과 운영 사업 등의 지원 규모(지원인원, 지원건수, 지원금액 등) 정보를 제공합니다.",XML,2018-12-26,API
2019,부산광역시 장애인 전동보장구 급속충전기 설치 현황,자치행정기관,"부산광역시_장애인 전동보장구 급속충전기 설치 현황(설치장소, 전화번호, 주소 등)",JSON+XML,2018-12-07,API
2020,부산광역시 구군 장례시설 현황,자치행정기관,"부산광역시_구군 장례시설 현황(업체명, 위치, 연락처, 빈소수, 이용료 등)",JSON+XML,2018-12-07,API
2021,부산광역시 구군 보건소 예방접종 정보,자치행정기관,"부산광역시_구군 보건소 예방접종 정보(예방접종명, 접종대상자, 비용, 전화번호 등)",JSON+XML,2018-12-07,API
2022,경기도 광명시 의무소독대상 현황,자치행정기관,"광명시 의무소독대상시설현황(시설구분, 시설명, 연락처, 주소) 입니다.",JSON+XML,2018-11-19,API
2023,경기도 광명시 병원 현황,자치행정기관,광명시 병원 현황입니다,JSON+XML,2018-11-08,API
2024,경기도 광명시 병원 현황(병원급),자치행정기관,광명시 병원 현황(병원급)입니다,JSON+XML,2018-11-08,API
2025,경기도 광명시 병원평가정보(위암) 현황,자치행정기관,광명시 병원평가정보(위암) 현황입니다,JSON+XML,2018-11-08,API
2026,경기도 광명시 병원평가정보(주사제) 현황,자치행정기관,광명시 병원평가정보(주사제) 현황입니다,JSON+XML,2018-11-08,API
2027,경기도 광명시 병원평가정보(중환자실) 현황,자치행정기관,광명시 병원평가정보(중환자실) 현황입니다,JSON+XML,2018-11-08,API
2028,경기도 광명시 병원평가정보(질병-고혈압) 현황,자치행정기관,광명시 병원평가정보(질병-고혈압) 현황입니다,JSON+XML,2018-11-08,API
2029,경기도 광명시 병원평가정보(질병-급성기뇌졸증) 현황,자치행정기관,광명시 병원평가정보(질병-급성기뇌졸증) 현황입니다,JSON+XML,2018-11-08,API
2030,경기도 광명시 병원평가정보(질병-당뇨병) 현황,자치행정기관,광명시 병원평가정보(질병-당뇨병) 현황입니다,JSON+XML,2018-11-08,API
2031,경기도 광명시 병원평가정보(질병-만성폐쇄성폐질환) 현황,자치행정기관,광명시 병원평가정보(질병-만성폐쇄성폐질환) 현황입니다,JSON+XML,2018-11-08,API
2032,경기도 광명시 병원평가정보(질병-의료급여정신과) 현황,자치행정기관,광명시 병원평가정보(질병-의료급여정신과) 현황입니다,JSON+XML,2018-11-08,API
2033,경기도 광명시 병원평가정보(질병-천식) 현황,자치행정기관,광명시 병원평가정보(질병-천식) 현황입니다,JSON+XML,2018-11-08,API
2034,경기도 광명시 비급여항목병원목록 현황,자치행정기관,광명시 비급여항목병원목록 현황입니다,JSON+XML,2018-11-06,API
2035,경기도 광명시 부속 의료기관 현황,자치행정기관,광명시 부속 의료기관 현황입니다,JSON+XML,2018-11-06,API
2036,경기도 광명시 어린이국가예방접종지정의료기관 현황,자치행정기관,광명시 어린이국가예방접종지정의료기관 현황입니다,JSON+XML,2018-11-06,API
2037,경기도 광명시 보건소 현황,자치행정기관,광명시 보건소 현황입니다,JSON+XML,2018-11-06,API
2038,경기도 광명시 요양병원 현황(병원급),자치행정기관,광명시 요양병원 현황(병원급)입니다,JSON+XML,2018-11-06,API
2039,경기도 광명시 병원평가정보(질병-혈액투석) 현황,자치행정기관,광명시 병원평가정보(질병-혈액투석) 현황입니다,JSON+XML,2018-11-06,API
2040,경기도 광명시 병원평가정보(질병-폐렴) 현황,자치행정기관,광명시 병원평가정보(질병-폐렴) 현황입니다,JSON+XML,2018-11-06,API
2041,경기도 광명시 응급의료센터 현황,자치행정기관,광명시 응급의료센터 현황입니다,JSON+XML,2018-11-06,API
2042,경기도 광명시 자율점검 업소지정 현황,자치행정기관,광명시 자율점검 업소지정 현황입니다,JSON+XML,2018-11-06,API
2043,경기도 광명시 의원급산부인과 현황,자치행정기관,광명시 의원급산부인과 현황입니다,JSON+XML,2018-11-06,API
2044,경기도 광명시 정신 건강 증진센터 현황,자치행정기관,광명시 정신 건강 증진센터 현황입니다,JSON+XML,2018-11-06,API
2045,경기도 광명시 조산원(의원급) 현황,자치행정기관,광명시 조산원(의원급) 현황입니다,JSON+XML,2018-11-06,API
2046,경기도 광명시 의원 현황(의원급),자치행정기관,광명시 의원 현황(의원급)입니다,JSON+XML,2018-11-06,API
2047,경기도 광명시 종합병원 현황(병원급),자치행정기관,광명시 종합병원 현황(병원급)입니다,JSON+XML,2018-11-06,API
2048,경기도 광명시 의료법인 현황,자치행정기관,광명시 의료법인 현황입니다,JSON+XML,2018-11-06,API
2049,경기도 광명시 의료 유사업체 현황(안마원),자치행정기관,광명시 의료 유사업체 현황(안마원)입니다,JSON+XML,2018-11-06,API
2050,경기도 광명시 종합병원산부인과 현황,자치행정기관,광명시 종합병원산부인과 현황입니다,JSON+XML,2018-11-06,API
2051,경기도 광명시 의료 유사업체 현황(안마시술소),자치행정기관,광명시 의료 유사업체 현황(안마시술소)입니다,JSON+XML,2018-11-06,API
2052,경기도 광명시 진단용 방사선 발생장치 현황,자치행정기관,광명시 진단용 방사선 발생장치 현황입니다,JSON+XML,2018-11-06,API
2053,경기도 광명시 치과기공소 현황,자치행정기관,광명시 치과기공소 현황입니다,JSON+XML,2018-11-06,API
2054,경기도 광명시 한의원 현황(의원급),자치행정기관,광명시 한의원 현황(의원급)입니다,JSON+XML,2018-11-06,API
2055,경기도 광명시 특수의료장비 현황(유방촬영용장치),자치행정기관,광명시 특수의료장비 현황(유방촬영용장치)입니다,JSON+XML,2018-11-06,API
2056,경기도 광명시 특수 의료장비 현황(CTㆍMRI),자치행정기관,광명시 특수 의료장비 현황(CTㆍMRI)입니다,JSON+XML,2018-11-06,API
2057,경기도 광명시 치과의원 현황(의원급),자치행정기관,광명시 치과의원 현황(의원급)입니다,JSON+XML,2018-11-06,API
2058,경기도 광명시 병원평가정보(유방암) 현황,자치행정기관,광명시 병원평가정보(유방암) 현황입니다,JSON+XML,2018-10-19,API
2059,경기도 광명시 병원평가정보(질병-급성심근경색증) 현황,자치행정기관,광명시 병원평가정보(질병-급성심근경색증) 현황입니다,JSON+XML,2018-10-19,API
2060,응급의료기관 및 응급의료지원센터 현황,자치행정기관,경기도내 응급 의료 정보센터 현황,XML,2018-10-01,API
2061,서대문구 이용업 현황(실시간),자치행정기관,"신고되어 등록되어 있는 미용업, 미용실, 헤어샵 등의 현황입니다.",JSON,2018-08-31,API
2062,"공중위생업소(세탁, 목욕)",자치행정기관,목욕업과 세탁업 현황입니다,JSON+XML,2018-08-02,API
2063,서대문구 미용업 현황(실시간),자치행정기관,"신고되어 등록되어 있는 미용업, 미용실, 헤어샵 등의 현황입니다.",JSON+XML,2018-07-20,API
2064,소독업소정보,자치행정기관,"등록된 소독업소 등록 정보로 영업상태, 업소명칭,업소 소재지, 업소 전화번호 등의 정보를 제공합니다.",JSON+XML,2018-07-20,API
2065,산후조리업소정보,자치행정기관,"등록된 산후조리업소 등록 정보로 영업상태, 업소명칭, 소재지, 전화번호 등의 정보를 제공합니다.",JSON+XML,2018-07-20,API
2066,약국정보,자치행정기관,"등록된 약업소 등록 정보로 영업상태, 약국명칭, 약국 소재지, 약국 전화번호 등의 정보를 제공합니다.",JSON+XML,2018-07-20,API
2067,숙박업(일반),자치행정기관,등록되어 있는 숙박업소(일반) 현황입니다.,JSON+XML,2018-07-20,API
2068,개방화장실,자치행정기관,한옥마을을 중심으로 한 전주시 공중 및 개방화장실 위치정보,JSON+XML,2018-04-24,API
2069,의약판매업소 정보 서비스,자치행정기관,순창군 의약업소 현황,JSON+XML,2018-04-05,API
2070,병의원·약국정보,자치행정기관,"전주시내 병원 및 약국, 휴일,심야 및 응급 의료시설, 당번약국 등",JSON+XML,2018-04-02,API
2071,미용업(피부) 현황,자치행정기관,"경기도 내의 위생관리용역업체, 물티슈 등과 같은 위생세척용품을 제조하는 업체 등과 같이 위생관련 업체 현황을 제공합니다.",XML,2017-12-13,API
2072,조산원(의원급) 현황,자치행정기관,"경기도 내의 병원, 의원, 한의원, 한방병원, 전문병원 등의 병원명, 소재지주소, 소재지 위치등의 정보를 제공합니다.",XML,2017-12-13,API
2073,정신의료기관(정신건강의학과) 현황,자치행정기관,"경기도 내의 병원, 의원, 한의원, 한방병원, 전문병원 등의 병원명, 소재지주소, 소재지 위치등의 정보를 제공합니다.",XML,2017-12-06,API
2074,정신의료기관별 입원 진료실인원 집계현황,자치행정기관,"경기도 내의 병원, 의원, 한의원, 한방병원, 전문병원 등의 병원명, 소재지주소, 소재지 위치등의 정보를 제공합니다.",XML,2017-12-06,API
2075,정신질환 상병별 진료실인원 집계현황,자치행정기관,"경기도 내의 병원, 의원, 한의원, 한방병원, 전문병원 등의 병원명, 소재지주소, 소재지 위치등의 정보를 제공합니다.",XML,2017-12-06,API
2076,위생관리용역업 현황,자치행정기관,"경기도 내의 위생관리용역업체, 물티슈 등과 같은 위생세척용품을 제조하는 업체 등과 같이 위생관련 업체 현황을 제공합니다.",XML,2017-12-04,API
2077,위생용품제조업(기타) 현황,자치행정기관,"경기도 내의 위생관리용역업체, 물티슈 등과 같은 위생세척용품을 제조하는 업체 등과 같이 위생관련 업체 현황을 제공합니다.",XML,2017-12-04,API
2078,위생처리업 현황,자치행정기관,"경기도 내의 위생관리용역업체, 물티슈 등과 같은 위생세척용품을 제조하는 업체 등과 같이 위생관련 업체 현황을 제공합니다.",XML,2017-12-04,API
2079,소독업체 현황,자치행정기관,"경기도 내의 위생관리용역업체, 물티슈 등과 같은 위생세척용품을 제조하는 업체 등과 같이 위생관련 업체 현황을 제공합니다.",XML,2017-12-04,API
2080,세척제제조업 현황,자치행정기관,"경기도 내의 위생관리용역업체, 물티슈 등과 같은 위생세척용품을 제조하는 업체 등과 같이 위생관련 업체 현황을 제공합니다.",XML,2017-12-04,API
2081,김천시 식품위생업소 현황,자치행정기관,김천시에 있는 식품위생업소 자료,XML,2017-12-04,API
2082,김천시 보건지소 정보 제공,자치행정기관,"김천시 보건지소 및 보건의 배치(한의과,치과,의과,구분명) 현황 제공",XML,2017-12-04,API
